Date,Open,High,Low,Close,Adj Close,Volume
2022-08-23,3319.949951,3341.899902,3270.000000,3284.600098,3126.238281,1849256
2022-08-24,3292.000000,3308.000000,3250.199951,3255.350098,3098.398438,1691923
2022-08-25,3276.000000,3278.149902,3214.750000,3218.199951,3063.039307,1946930
2022-08-26,3234.300049,3257.000000,3216.800049,3222.199951,3066.846191,1457962
2022-08-29,3125.000000,3142.699951,3081.000000,3132.550049,2981.519043,2539173
2022-08-30,3155.000000,3226.500000,3142.100098,3211.149902,3056.329346,3431525
2022-09-01,3190.000000,3190.000000,3121.000000,3131.699951,2980.709961,3546935
2022-09-02,3163.000000,3163.000000,3120.300049,3130.399902,2979.472168,2052900
2022-09-05,3123.649902,3147.949951,3112.250000,3133.399902,2982.327881,2147912
2022-09-06,3135.500000,3140.850098,3106.350098,3127.050049,2976.284180,1936453
2022-09-07,3102.000000,3161.899902,3102.000000,3149.600098,2997.746826,1291534
2022-09-08,3170.000000,3183.500000,3160.100098,3169.649902,3016.830322,1346113
2022-09-09,3195.000000,3233.500000,3168.500000,3217.649902,3062.515869,1561185
2022-09-12,3239.899902,3269.800049,3225.000000,3242.949951,3086.596436,1785928
2022-09-13,3263.449951,3263.449951,3225.000000,3229.350098,3073.651855,1972678
2022-09-14,3135.000000,3141.399902,3113.800049,3120.399902,2969.955078,5090269
2022-09-15,3130.000000,3137.750000,3100.000000,3104.350098,2954.678711,2138023
2022-09-16,3076.000000,3094.350098,3000.000000,3008.699951,2863.639893,5322221
2022-09-19,3036.000000,3042.000000,2987.800049,3028.800049,2882.771240,2072220
2022-09-20,3050.000000,3079.949951,3030.000000,3040.300049,2893.716797,1544295
2022-09-21,3028.000000,3041.399902,2998.149902,3001.199951,2856.501709,2253818
2022-09-22,2990.000000,3029.949951,2979.300049,3007.399902,2862.403076,2017983
2022-09-23,3004.000000,3022.500000,2979.000000,2982.050049,2838.275391,2652374
2022-09-26,2959.850098,3025.850098,2926.100098,2994.399902,2850.029541,2925489
2022-09-27,3009.399902,3025.000000,2976.000000,3017.449951,2871.968262,2227447
